derived_file,source_files,aggregation_formula,filtering_rules,denominator,creation_script,commit_sha,created_at
thesis_reporting/phase3_terminal_holdout.csv,thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/predictive_entropy/metrics/final_holdout.json; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/family_qbc/metrics/final_holdout.json; thesis_results/03_real_al/phase3_results_20260620/thesis_results/03_real_al/branches/cluster_diverse_representative/metrics/final_holdout.json,Direct transcription of terminal post-ingest holdout JSON metrics.,"surrogate_stage=post_ingest, round_id=8.",Same frozen 74-peptide holdout per branch.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase3_strategy_selection_evidence.csv,thesis_results/03_real_al_strategy_selection/strategy_selection_summary.csv; active_learning_thesis/phase3_strategy_selection.py,Canonical executable strategy-selection table copied without numerical alteration.,Ten Phase 2 benchmark strategies; random retained as baseline/control.,Combined n0=10 and n0=40 evidence.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/shared_cgmd_inventory.csv,thesis_reporting/phase3_round_outcomes.csv; active_learning_runs/thesis_main_20260502/md_campaigns; active_learning_runs/thesis_main_supek_20260502/md_campaigns; active_learning_runs/thesis_main_supek_clean_20260502_original/md_campaigns,One row per unique canonical simulated sequence; expected outcome is the conjunction AP_sasa(200 ns)>=1.75 and final-10-ns path-contact>=0.5.,120 Phase 3 reviewed simulations plus 29 complete primary Phase 4 simulations.,149 unique trajectories; one retained trajectory per peptide.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase4_assessment_inventory.csv,thesis_results/04_bayesian_optimization/Phase4 results/phase4_complete_20260621/thesis_results/04_bayesian_optimization/comparison/round_001/all_selected_peptides.csv; active_learning_runs/thesis_main_20260502/md_campaigns; active_learning_runs/thesis_main_supek_20260502/md_campaigns; active_learning_runs/thesis_main_supek_clean_20260502_original/md_campaigns,Exact-sequence reconciliation; complete campaigns require analysis_complete plus both operational metrics; outcome derived by the Phase 3 threshold conjunction.,All 30 archived policy-selection records.,"Five records per policy; 29 assessed, one unassessed.",build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase4_metric_conflicts.csv,active_learning_runs/thesis_main_20260502/md_campaigns; active_learning_runs/thesis_main_supek_20260502/md_campaigns; active_learning_runs/thesis_main_supek_clean_20260502_original/md_campaigns,Reports only conflicting complete metric pairs for the same canonical sequence.,Primary Phase 4 selected sequences.,Zero conflicts found.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase4_policy_summary.csv,thesis_reporting/phase4_assessment_inventory.csv,Yield=sum(threshold outcome)/assessed records; coverage=assessed/5; descriptive metric ranges and selected-set Levenshtein diversity.,Grouped by originating policy; unassessed record excluded from yield and retained in coverage.,Five archived records per policy.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase4_policy_exact_overlap.csv,thesis_results/04_bayesian_optimization/Phase4 results/phase4_complete_20260621/thesis_results/04_bayesian_optimization/comparison/round_001/all_selected_peptides.csv,Exact-sequence Jaccard overlap among archived policy batches.,"Five archived sequences per policy, before simulation exclusion.",Set union for each policy pair.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase4d_tradeoffs.csv,thesis_results/04_bayesian_optimization/Phase4 results/phase4_complete_20260621/thesis_results/04_bayesian_optimization/phase4d/run_001/all_policy_tradeoffs.csv,Canonical paired within-retained-pool trade-off table copied without modification.,Five guided policies; random excluded from paired selector comparison.,Five utility-only and five similarity-aware candidates per guided policy.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase5_foldwise_aulc.csv,thesis_results/05_self_paced_active_learning/tables/learning_curves.csv,Normalised discrete trapezoidal AULC-F1 over preregistered intervals; terminal metrics at 235 labels.,"holdout, initial_label_count=10, corrected completed Phase 5 aggregation.",Three overlapping outer-fold conditions per strategy.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase5_strategy_summary.csv,thesis_reporting/phase5_foldwise_aulc.csv; thesis_results/05_self_paced_active_learning/tables/labels_to_target_summary.csv,"Arithmetic mean, sample SD, minimum, maximum across three folds; target summaries transcribed from corrected aggregate.",fold_count=3 corrected canonical aggregation.,Three overlapping fold conditions.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase5_proxy_summary.csv,thesis_results/05_self_paced_active_learning/tables/proxy_validity_summary.csv,"Descriptive mean/sample-SD/range and positive fraction over per-fold, per-step tied-rank Spearman correlations.","metric=post_hoc_pre_query_log_loss, summary_type=spearman.",135 fold-step correlations per strategy; repeated steps are not independent.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/phase5_runtime_summary.csv,thesis_results/05_self_paced_active_learning/tables/compute_time.csv,Wall-time descriptive summaries; summed wall hours treated as approximate GPU-hours because each job requested one GPU.,Twelve successful Phase 5 replay jobs.,Three jobs per strategy.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/cross_phase_evidence_matrix.csv,thesis_reporting/phase2_strategy_summary_n0_10.csv; thesis_reporting/phase3_branch_summary.csv; thesis_reporting/phase4_policy_summary.csv; thesis_reporting/phase4d_tradeoffs.csv; thesis_reporting/phase5_strategy_summary.csv,Narrative synthesis of verified phase-specific summaries; no new statistical inference.,Only completed canonical or corrected-canonical evidence.,Not applicable; qualitative evidence matrix.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
thesis_reporting/superseded_and_unresolved.csv,,Repository evidence audit classification.,"Known superseded, contradictory, or unresolved items.",Not applicable.,build_thesis_reporting_evidence.py,7cbfa95d8d56ce4b558238341ed5e19354ffcec2,2026-06-23T18:05:49+02:00
